 Iteration 59600, loss = 2.96902
 Iteration 59700, loss = 2.49922
 Iteration 59800, loss = 2.61002
 Iteration 59900, loss = 1.86794
 Iteration 60000, loss = 2.92123
 Iteration 60100, loss = 4.63901
 Iteration 60200, loss = 2.94808
 Iteration 60300, loss = 3.72668
 Iteration 60400, loss = 2.85992
 Iteration 60500, loss = 3.66256
 Iteration 60600, loss = 2.68266
 Iteration 60700, loss = 3.4187
 Iteration 60800, loss = 2.66321
 Iteration 60900, loss = 2.88188
 Iteration 61000, loss = 2.32474
 Iteration 61100, loss = 3.03727
 Iteration 61200, loss = 2.04287
 Iteration 61300, loss = 2.98109
 Iteration 61400, loss = 2.35479
 Iteration 61500, loss = 2.9818
 Iteration 61600, loss = 2.6636
 Iteration 61700, loss = 3.04943
 Iteration 61800, loss = 2.53315
 Iteration 61900, loss = 2.81074
 Iteration 62000, loss = 2.16401
 Iteration 62100, loss = 2.61042
 Iteration 62200, loss = 3.30177
 Iteration 62300, loss = 2.85368
 Iteration 62400, loss = 4.37246
 Iteration 62500, loss = 3.04424
 Iteration 62600, loss = 3.88423
 Iteration 62700, loss = 2.78595
 Iteration 62800, loss = 3.44641
 Iteration 62900, loss = 2.65505
 Iteration 63000, loss = 3.09767
 Iteration 63100, loss = 2.5408
 Iteration 63200, loss = 2.88498
 Iteration 63300, loss = 2.13216
 Iteration 63400, loss = 3.07081
 Iteration 63500, loss = 2.11987
 Iteration 63600, loss = 3.20916
 Iteration 63700, loss = 2.48331
 Iteration 63800, loss = 2.96695
 Iteration 63900, loss = 2.69954
 Iteration 64000, loss = 3.11901
 Iteration 64100, loss = 2.58933
 Iteration 64200, loss = 2.64444
 Iteration 64300, loss = 1.73093
 Iteration 64400, loss = 2.84693
 Iteration 64500, loss = 4.18106
 Iteration 64600, loss = 2.9421
 Iteration 64700, loss = 3.95675
 Iteration 64800, loss = 3.03277
 Iteration 64900, loss = 3.55554
 Iteration 65000, loss = 2.65873
 Iteration 65100, loss = 3.4595
 Iteration 65200, loss = 2.77859
 Iteration 65300, loss = 2.91358
 Iteration 65400, loss = 2.48199
 Iteration 65500, loss = 3.1069
 Iteration 65600, loss = 2.11224
 Iteration 65700, loss = 3.0275
 Iteration 65800, loss = 2.2096
 Iteration 65900, loss = 3.03283
 Iteration 66000, loss = 2.65744
 Iteration 66100, loss = 3.03569
 Iteration 66200, loss = 2.61134
 Iteration 66300, loss = 2.82654
 Iteration 66400, loss = 2.27578
 Iteration 66500, loss = 2.68043
 Iteration 66600, loss = 2.69132
 Iteration 66700, loss = 2.95852
 Iteration 66800, loss = 4.60889
 Iteration 66900, loss = 2.95326
 Iteration 67000, loss = 3.79124
 Iteration 67100, loss = 2.81291
 Iteration 67200, loss = 3.51036
 Iteration 67300, loss = 2.61049
 Iteration 67400, loss = 3.36156
 Iteration 67500, loss = 2.66418
 Iteration 67600, loss = 2.85463
 Iteration 67700, loss = 2.1969
 Iteration 67800, loss = 2.99032
 Iteration 67900, loss = 2.05255
 Iteration 68000, loss = 3.10896
 Iteration 68100, loss = 2.41958
 Iteration 68200, loss = 2.93759
 Iteration 68300, loss = 2.66951
 Iteration 68400, loss = 2.9329
 Iteration 68500, loss = 2.51221
 Iteration 68600, loss = 2.58405
 Iteration 68700, loss = 2.03033
 Iteration 68800, loss = 2.68001
 Iteration 68900, loss = 3.76155
 Iteration 69000, loss = 2.92626
 Iteration 69100, loss = 4.03034
 Iteration 69200, loss = 3.03534
 Iteration 69300, loss = 3.61917
 Iteration 69400, loss = 2.58604
 Iteration 69500, loss = 3.47278
 Iteration 69600, loss = 2.5722
 Iteration 69700, loss = 2.93168
 Iteration 69800, loss = 2.51078
 Iteration 69900, loss = 2.91209
 Iteration 70000, loss = 2.07793
 Iteration 70100, loss = 2.95882
 Iteration 70200, loss = 2.11569
 Iteration 70300, loss = 3.114
 Iteration 70400, loss = 2.58684
 Iteration 70500, loss = 3.05061
 Iteration 70600, loss = 2.57591
 Iteration 70700, loss = 2.80227
 Iteration 70800, loss = 2.39796
 Iteration 70900, loss = 2.55149
 Iteration 71000, loss = 2.03303
 Iteration 71100, loss = 2.96135
 Iteration 71200, loss = 4.95094
 Iteration 71300, loss = 2.94901
 Iteration 71400, loss = 3.80732
 Iteration 71500, loss = 2.89051
 Iteration 71600, loss = 3.49546
 Iteration 71700, loss = 2.64213
 Iteration 71800, loss = 3.35468
 Iteration 71900, loss = 2.60194
 Iteration 72000, loss = 2.7707
 Iteration 72100, loss = 2.21885
 Iteration 72200, loss = 3.00633
